PickYear,LocProfileId,SourceLocation,SourceZone,SKU,PickLines,DistinctOrders,PickUnits,FirstPickDate,LastPickDate,SourceSchema
2022,W001,07-115Z,W001,67521-G31-100,1,1,1.0,2022-06-08,2022-06-08,DAX_Archive.arc
2022,W001,07-139B,W001,36086-B42-140,1,1,1.0,2022-02-05,2022-02-05,DAX_Archive.arc
2022,W001,07-143Z,W001,33175-U74-160,1,1,1.0,2022-01-14,2022-01-14,DAX_Archive.arc
2022,W001,07-118B,W001,65602-UU3-75,1,1,1.0,2022-01-10,2022-01-10,DAX_Archive.arc
2022,invalid,07-109D,Invalid,67241-011-75,1,1,1.0,2022-01-22,2022-01-22,DAX_Archive.arc
2022,W001,07-131Z,W001,67176-M23-140,1,1,1.0,2022-02-01,2022-02-01,DAX_Archive.arc
2022,W001,07-085D,W001,65290-A91-140,2,2,2.0,2022-02-17,2022-02-19,DAX_Archive.arc
2022,W001,07-086B,W001,66920-VA6-75,2,2,2.0,2022-01-07,2022-01-27,DAX_Archive.arc
2022,W001,07-049X,W001,59846-RC9-S,1,1,1.0,2022-02-23,2022-02-23,DAX_Archive.arc
2022,W001,07-051W,W001,37028-QD7-160,1,1,1.0,2022-02-19,2022-02-19,DAX_Archive.arc
2022,W001,07-125X,W001,67124-QR7-S,5,5,5.0,2022-02-06,2022-02-09,DAX_Archive.arc
2022,invalid,17-128Y,Invalid,67027-D16-110,3,3,3.0,2022-10-19,2022-10-20,DAX_Archive.arc
2023,invalid,17-130W,Invalid,80983-846-110,18,18,18.0,2023-12-26,2023-12-31,DAX_Archive.arc
2022,W001,07-071W,W001,66985-VF5-S,1,1,1.0,2022-01-02,2022-01-02,DAX_Archive.arc
2022,invalid,17-137Y,Invalid,67855-M91-130,236,236,240.0,2022-05-10,2022-07-16,DAX_Archive.arc
2022,invalid,07-014B,Invalid,67239-011-70,1,1,1.0,2022-01-17,2022-01-17,DAX_Archive.arc
2022,W001,07-058A,W001,47929-S74-XS,7,7,7.0,2022-01-06,2022-01-30,DAX_Archive.arc
